direction,direction_id,route_id,route_short_name
SOUTH,1,30043,180
SOUTH,1,30044,181
SOUTH,1,30045,182
WEST,1,30046,183
SOUTH,1,30047,184
SOUTH,1,30048,185
SOUTH,1,30049,186
SOUTH,1,30050,187
SOUTH,1,30051,189
WEST,1,30052,991
WEST,1,30053,992
WEST,1,30055,023
SOUTH,1,30584,191
WEST,1,31816,360
WEST,1,31817,361
SOUTH,1,31818,362
SOUTH,1,31819,363
WEST,1,31820,372
SOUTH,1,31821,733
SOUTH,1,31822,741
WEST,1,32799,119
WEST,1,33292,133
SOUTH,1,33538,068
WEST,1,34042,745
WEST,1,34043,746
WEST,1,34044,560
WEST,1,34045,561
SOUTH,1,34540,719
SOUTH,1,34541,722
SOUTH,1,34542,406
WEST,1,34543,408
SOUTH,1,34544,282
SOUTH,1,36799,249
WEST,1,37807,R5
SOUTH,1,37808,R1
WEST,1,37809,R3
WEST,1,37810,R4
WEST,1,38311,R2
SOUTH,1,39304,031
SOUTH,1,39305,222
WEST,1,39307,245
WEST,1,40855,350
SOUTH,1,44595,226
SOUTH,1,44845,900
WEST,1,45596,080
WEST,1,46099,102
SOUTH,1,46604,R6
WEST,1,48855,338
